Record_ID,Supply_Date,Zone,Distribution_Station,Water_Source,Supply_Volume_Liters,Consumption_Liters,Water_Loss_Liters,Pressure_PSI,Pipeline_ID,Leakage_Events,Water_Quality,PH_Value,Turbidity_NTU,Consumer_Count,Maintenance_Cost,System_Status
2643,2026-06-16,West,DS17,River,21066.02,14398.33,6667.69,32.1,P206,2,Moderate,8.11,6.79,2778,46727.18,Normal
2644,2026-02-13,South,DS30,Reservoir,109601.93,81378.36,28223.57,67.1,P786,3,Good,8.02,5.07,521,62347.72,Leakage
2645,2026-06-25,South,DS18,Reservoir,110522.44,92400.75,18121.69,24.3,P527,4,Poor,6.89,2.24,3401,84665.7,Normal
2646,2026-06-15,East,DS26,Reservoir,59284.17,42148.65,17135.52,59.5,P872,1,Good,6.57,9.76,2673,17018.29,Maintenance
2647,2026-05-26,West,DS26,Reservoir,44834.27,40632.15,4202.12,23.7,P987,5,Poor,7.7,6.24,1661,39920.07,Normal
2648,2026-06-10,North,DS19,Reservoir,108834.32,81211.98,27622.34,75.4,P633,3,Moderate,6.65,2.19,667,17827.47,Normal
2649,2026-04-25,West,DS14,Reservoir,130355.5,94970.07,35385.43,70.3,P547,4,Poor,7.59,9.69,670,59165.13,Maintenance
2650,2026-06-02,South,DS11,River,83842.13,61941.48,21900.65,31.8,P934,1,Excellent,7.84,6.76,4671,74418.53,Normal
2651,2026-01-08,West,DS3,Reservoir,46890.43,33893.3,12997.13,24.8,P182,1,Good,7.54,0.19,2014,39726.61,Critical
2652,2026-01-04,Central,DS27,River,34305.88,27932.21,6373.67,33.0,P994,5,Moderate,8.46,9.96,713,22098.82,Normal
2653,2026-04-24,West,DS19,Reservoir,140403.95,120427.98,19975.97,64.8,P207,2,Poor,7.5,8.37,2835,60871.73,Normal
2654,2026-02-18,East,DS16,Groundwater,43172.18,32946.14,10226.04,30.6,P345,1,Poor,6.63,7.63,1762,86461.16,Maintenance
2655,2026-03-27,West,DS5,Reservoir,63110.21,59597.81,3512.4,51.6,P134,0,Poor,7.82,7.4,3220,30855.13,Normal
2656,2026-02-16,South,DS2,TreatmentPlant,173662.21,131043.43,42618.78,76.3,P151,1,Good,6.86,0.59,548,15824.27,Maintenance
2657,2026-01-30,Central,DS16,Groundwater,74273.04,62388.6,11884.44,66.5,P377,3,Good,7.95,1.57,1164,42652.55,Normal
2658,2026-03-13,West,DS3,Reservoir,13648.89,12850.27,798.62,63.9,P447,1,Excellent,7.36,5.95,1706,98994.48,Critical
2659,2026-06-26,West,DS7,Groundwater,111270.73,90177.79,21092.94,22.8,P957,2,Good,7.27,5.53,715,86647.08,Maintenance
2660,2026-06-20,South,DS21,TreatmentPlant,159092.58,117547.65,41544.93,23.0,P733,1,Good,7.37,6.31,3243,34617.25,Normal
2661,2026-02-28,East,DS2,River,87336.91,69011.75,18325.16,42.8,P923,0,Good,7.21,0.73,2239,20182.95,Normal
2662,2026-01-08,West,DS6,Groundwater,97802.07,88995.76,8806.31,22.6,P700,4,Moderate,7.86,6.03,3679,26358.14,Normal
2663,2026-04-01,North,DS28,TreatmentPlant,80908.78,59531.92,21376.86,49.8,P644,0,Poor,6.53,6.9,3911,7013.52,Normal
2664,2026-05-03,North,DS1,Groundwater,197771.33,168509.72,29261.61,59.5,P546,1,Poor,7.45,9.22,2508,47135.46,Normal
2665,2026-05-31,Central,DS22,TreatmentPlant,122420.7,97444.89,24975.81,66.5,P265,4,Moderate,7.96,8.8,1043,23904.67,Normal
2666,2026-06-24,North,DS18,River,109088.15,71596.06,37492.09,24.9,P303,2,Poor,8.24,2.41,819,40663.06,Normal
2667,2026-03-10,Central,DS29,Reservoir,83623.1,63328.53,20294.57,35.2,P465,3,Excellent,7.83,9.97,4773,83105.9,Normal
2668,2026-05-28,Central,DS30,Groundwater,70315.71,54898.75,15416.96,69.5,P901,1,Excellent,7.06,9.76,3287,56505.45,Normal
2669,2026-03-05,South,DS10,Groundwater,49390.15,39771.4,9618.75,58.1,P216,4,Good,7.57,0.92,2668,80208.33,Normal
2670,2026-03-22,West,DS29,River,65479.36,46325.28,19154.08,66.8,P291,5,Excellent,8.29,2.01,522,5051.72,Normal
2671,2026-05-18,West,DS13,River,88499.85,80085.79,8414.06,22.9,P562,3,Poor,7.92,4.07,4080,32345.23,Normal
2672,2026-03-12,Central,DS4,Groundwater,46558.88,39258.73,7300.15,35.3,P578,2,Poor,7.19,4.2,3941,52991.51,Normal
2673,2026-04-12,Central,DS16,Groundwater,91551.29,85270.04,6281.25,65.7,P524,2,Excellent,7.67,0.31,1627,49238.66,Normal
2674,2026-02-18,West,DS25,River,182185.32,168437.56,13747.76,72.2,P932,1,Good,6.58,5.7,4839,79101.41,Maintenance
2675,2026-01-07,South,DS14,River,185623.54,140041.26,45582.28,60.8,P418,2,Poor,6.86,3.38,3055,24897.75,Normal
2676,2026-04-22,Central,DS13,TreatmentPlant,157307.54,144132.17,13175.37,39.9,P262,1,Excellent,7.59,4.97,1393,74059.44,Normal
2677,2026-05-30,Central,DS25,River,45677.54,35191.26,10486.28,73.4,P666,1,Excellent,7.06,8.77,989,81725.6,Normal
2678,2026-02-08,South,DS18,TreatmentPlant,59405.86,50596.0,8809.86,70.7,P935,3,Excellent,7.68,0.99,4054,61032.66,Normal
2679,2026-03-28,East,DS13,River,21504.9,14040.9,7464.0,46.1,P399,1,Excellent,8.22,1.93,4533,25659.15,Normal
2680,2026-04-01,Central,DS10,TreatmentPlant,139124.35,135955.09,3169.26,67.4,P271,0,Moderate,8.2,1.0,4356,25952.39,Normal
2681,2026-04-13,North,DS23,River,69760.55,54286.35,15474.2,56.3,P393,0,Poor,8.16,7.02,2480,98863.72,Normal
2682,2026-01-06,Central,DS17,Groundwater,78553.64,70356.54,8197.1,28.0,P545,3,Moderate,7.58,7.13,4399,18643.44,Normal
2683,2026-05-11,West,DS24,TreatmentPlant,109418.45,106210.33,3208.12,73.9,P940,2,Poor,8.43,8.77,2395,74823.42,Normal
2684,2026-05-09,North,DS21,TreatmentPlant,150602.62,147188.87,3413.75,79.9,P731,2,Poor,7.2,1.84,3780,29034.65,Normal
2685,2026-03-05,Central,DS5,Groundwater,169289.64,133686.11,35603.53,27.3,P656,1,Good,7.81,2.14,806,76850.94,Normal
2686,2026-02-21,Central,DS26,Groundwater,71296.18,68604.48,2691.7,73.0,P459,4,Moderate,7.47,6.48,2300,8706.08,Normal
2687,2026-04-15,Central,DS25,TreatmentPlant,121038.05,101163.86,19874.19,52.5,P348,5,Moderate,6.76,4.78,1536,94485.58,Normal
2688,2026-06-02,West,DS29,Reservoir,55973.3,41867.02,14106.28,75.8,P806,1,Good,8.41,3.28,1529,98403.8,Normal
2689,2026-06-12,West,DS26,River,127802.47,119144.88,8657.59,23.4,P289,4,Moderate,8.36,6.5,4104,40636.26,Maintenance
2690,2026-04-17,East,DS28,Groundwater,162427.39,128682.34,33745.05,22.6,P102,5,Good,6.55,0.37,3220,44355.84,Maintenance
2691,2026-03-09,Central,DS3,Reservoir,146366.01,98622.53,47743.48,74.8,P421,1,Poor,6.63,0.94,761,85559.78,Normal
2692,2026-02-13,South,DS21,Groundwater,72547.52,47552.45,24995.07,73.8,P427,2,Poor,6.6,0.85,938,78138.87,Normal
2693,2026-05-23,South,DS24,TreatmentPlant,93388.62,75602.79,17785.83,39.8,P615,2,Poor,8.09,1.7,2228,66497.63,Leakage
2694,2026-01-23,North,DS9,River,50878.76,36262.97,14615.79,75.3,P213,1,Excellent,6.86,7.02,1403,23575.91,Normal
2695,2026-01-08,Central,DS27,Reservoir,117295.26,78603.84,38691.42,78.3,P466,4,Moderate,8.35,5.38,2803,6207.8,Normal
2696,2026-04-09,Central,DS3,TreatmentPlant,97114.53,85169.98,11944.55,60.5,P481,5,Excellent,7.54,8.57,3564,22309.68,Maintenance
2697,2026-05-19,East,DS5,River,63054.24,51844.68,11209.56,46.6,P505,3,Good,8.29,4.88,4350,59686.87,Maintenance
2698,2026-05-23,North,DS1,River,185321.06,168737.43,16583.63,78.7,P663,3,Moderate,8.13,7.82,2987,91542.19,Normal
2699,2026-04-24,South,DS19,Groundwater,83291.22,59768.89,23522.33,79.4,P180,2,Good,6.91,5.8,3014,68310.91,Normal
2700,2026-02-18,North,DS18,Reservoir,115973.07,76863.28,39109.79,62.2,P287,2,Moderate,7.72,9.05,1698,38523.66,Normal
2701,2026-04-28,South,DS24,River,93718.14,82262.67,11455.47,29.1,P479,1,Poor,6.59,7.28,1440,44808.35,Normal
2702,2026-01-01,South,DS15,Reservoir,39401.63,27399.6,12002.03,72.3,P833,4,Moderate,8.08,8.75,511,78951.57,Normal
2703,2026-03-21,North,DS14,TreatmentPlant,118581.63,114419.41,4162.22,39.2,P710,3,Poor,7.16,9.32,2345,87493.01,Normal
2704,2026-05-05,East,DS26,Groundwater,142747.49,128680.54,14066.95,41.3,P513,2,Good,7.7,0.76,1789,49069.14,Maintenance
2705,2026-04-14,North,DS29,Groundwater,158091.12,149669.35,8421.77,30.4,P792,1,Excellent,8.41,4.52,3048,67037.33,Maintenance
2706,2026-03-07,Central,DS6,Reservoir,51447.69,34561.6,16886.09,61.7,P692,5,Excellent,7.6,3.24,1785,65954.38,Normal
2707,2026-03-20,West,DS18,TreatmentPlant,198558.74,152911.35,45647.39,68.3,P662,4,Moderate,7.66,9.72,3011,31655.36,Normal
2708,2026-04-30,South,DS7,TreatmentPlant,134797.27,94267.33,40529.94,52.5,P216,1,Moderate,7.28,1.31,3372,13975.58,Leakage
2709,2026-04-07,Central,DS26,Reservoir,164076.35,131331.71,32744.64,76.1,P134,0,Moderate,7.07,1.04,2315,96286.79,Leakage
2710,2026-01-29,North,DS9,TreatmentPlant,131520.99,124635.37,6885.62,23.3,P422,1,Excellent,6.86,7.36,1928,41589.78,Normal
2711,2026-03-15,East,DS29,River,173409.21,120612.57,52796.64,60.1,P393,2,Good,7.58,9.28,909,43358.41,Maintenance
2712,2026-04-19,North,DS27,Reservoir,66312.16,45961.42,20350.74,31.7,P914,2,Excellent,8.19,9.82,2577,86146.57,Normal
2713,2026-06-05,Central,DS12,Groundwater,73804.01,63338.16,10465.85,52.9,P437,0,Moderate,8.17,1.08,3390,39485.65,Normal
2714,2026-04-11,Central,DS9,Reservoir,136441.49,105847.59,30593.9,63.0,P955,1,Poor,8.07,5.07,1485,34523.08,Critical
2715,2026-04-04,Central,DS24,Reservoir,26259.53,23957.73,2301.8,62.1,P936,0,Good,6.9,8.16,3583,80564.93,Normal
2716,2026-03-19,North,DS28,TreatmentPlant,59291.91,42572.3,16719.61,53.3,P489,2,Moderate,8.11,2.39,841,74045.33,Leakage
2717,2026-06-11,West,DS7,Groundwater,18811.67,13641.67,5170.0,78.8,P510,2,Excellent,8.41,1.05,1057,9708.87,Leakage
2718,2026-06-22,East,DS7,Reservoir,14937.56,10760.0,4177.56,61.7,P374,0,Excellent,7.86,2.01,3486,75694.82,Normal
2719,2026-01-24,North,DS16,Groundwater,68960.04,62032.5,6927.54,64.8,P968,0,Moderate,6.74,6.07,2178,96142.3,Normal
2720,2026-03-05,East,DS21,Reservoir,64801.88,48364.75,16437.13,62.8,P468,3,Excellent,7.9,8.53,1384,78445.63,Normal
2721,2026-04-08,North,DS3,Reservoir,45082.59,31875.79,13206.8,32.9,P353,0,Good,6.57,1.28,871,24412.08,Normal
2722,2026-05-13,South,DS10,Groundwater,48620.53,44752.94,3867.59,26.8,P657,1,Good,7.02,7.29,3995,70751.9,Normal
2723,2026-06-14,East,DS14,TreatmentPlant,114703.49,111478.26,3225.23,76.0,P674,2,Excellent,7.69,1.33,930,55759.61,Normal
2724,2026-05-08,North,DS11,Groundwater,165583.46,114411.78,51171.68,72.3,P329,0,Excellent,7.33,6.75,2054,64577.4,Normal
2725,2026-01-17,Central,DS18,TreatmentPlant,173983.0,113156.13,60826.87,67.5,P900,0,Excellent,7.45,4.43,1466,58040.46,Normal
2726,2026-06-06,North,DS8,River,12403.23,8787.28,3615.95,67.5,P741,3,Poor,7.84,5.87,4935,61714.88,Maintenance
2727,2026-04-09,Central,DS22,TreatmentPlant,133932.64,112493.76,21438.88,67.8,P612,0,Excellent,8.2,1.83,4864,33579.59,Maintenance
2728,2026-05-10,East,DS20,River,162723.02,151468.95,11254.07,77.4,P582,5,Excellent,8.06,1.22,2764,8211.59,Normal
2729,2026-06-26,South,DS23,River,47236.91,46207.83,1029.08,20.3,P631,1,Good,6.6,4.18,4346,99327.45,Normal
2730,2026-06-23,East,DS10,River,95454.37,80838.6,14615.77,76.0,P783,2,Excellent,6.68,7.69,4590,69143.15,Normal
2731,2026-05-09,East,DS9,TreatmentPlant,141647.02,97388.22,44258.8,66.1,P374,5,Excellent,8.33,5.9,3936,37677.09,Normal
2732,2026-04-02,East,DS19,River,177691.31,119652.42,58038.89,33.4,P198,0,Moderate,7.63,6.88,2872,1353.07,Normal
2733,2026-01-30,North,DS1,Groundwater,117736.8,108926.76,8810.04,50.2,P176,1,Poor,6.71,3.51,3631,65406.67,Normal
2734,2026-06-22,North,DS23,TreatmentPlant,186688.52,152587.31,34101.21,62.5,P170,3,Excellent,6.57,6.5,3747,62360.31,Normal
2735,2026-06-18,Central,DS2,Reservoir,105033.88,73316.04,31717.84,60.0,P106,3,Poor,8.46,1.99,2270,2125.99,Normal
2736,2026-04-22,West,DS23,Reservoir,122838.93,84446.47,38392.46,48.3,P688,5,Moderate,7.62,6.8,4738,12966.56,Normal
2737,2026-05-16,East,DS5,River,10141.84,8157.68,1984.16,44.7,P921,0,Moderate,7.52,1.23,4635,32548.7,Normal
2738,2026-06-26,South,DS11,TreatmentPlant,92788.68,87471.16,5317.52,26.3,P921,2,Poor,8.14,1.95,4232,82902.94,Normal
2739,2026-02-18,Central,DS8,River,74279.72,72481.16,1798.56,33.0,P849,4,Moderate,8.16,1.65,4848,16233.19,Normal
2740,2026-04-15,East,DS3,Reservoir,185088.72,121650.33,63438.39,23.3,P986,2,Good,7.98,8.17,1161,84740.9,Normal
2741,2026-01-04,North,DS26,Groundwater,96848.79,77667.62,19181.17,28.6,P645,4,Moderate,6.94,2.46,4280,55114.11,Normal
2742,2026-06-12,South,DS7,River,148560.69,97700.48,50860.21,58.8,P127,5,Poor,7.78,2.1,2405,58876.05,Normal
2743,2026-02-14,South,DS4,TreatmentPlant,98491.66,82983.46,15508.2,25.4,P107,4,Good,8.22,2.99,3224,1679.55,Maintenance
2744,2026-04-09,West,DS18,TreatmentPlant,60547.99,50430.97,10117.02,58.3,P224,2,Moderate,7.76,7.78,4613,57997.45,Maintenance
2745,2026-05-11,Central,DS22,Groundwater,162815.42,109778.69,53036.73,47.3,P152,2,Good,7.86,1.3,2639,62250.73,Maintenance
2746,2026-02-20,East,DS9,Reservoir,104035.06,75598.74,28436.32,48.9,P623,5,Poor,8.2,2.61,1295,70364.02,Normal
2747,2026-06-06,South,DS26,River,84842.98,73726.7,11116.28,74.2,P716,5,Poor,8.01,8.85,1516,21913.95,Normal
2748,2026-04-01,Central,DS22,Reservoir,111362.64,99954.65,11407.99,37.7,P703,3,Good,6.66,8.89,4361,16405.34,Normal
2749,2026-05-05,East,DS2,Groundwater,181245.89,153549.41,27696.48,76.8,P912,1,Excellent,6.59,1.2,1543,68752.05,Normal
2750,2026-04-18,South,DS25,River,59317.23,41569.01,17748.22,34.7,P251,0,Excellent,6.52,7.2,1085,56801.75,Normal
2751,2026-01-22,South,DS13,Reservoir,119570.24,94451.51,25118.73,46.8,P957,0,Good,8.14,7.78,789,20495.38,Maintenance
2752,2026-06-27,East,DS12,Groundwater,96786.97,84674.14,12112.83,54.4,P322,0,Poor,8.11,1.51,1871,52511.88,Normal
2753,2026-05-14,North,DS25,River,12722.46,9385.11,3337.35,27.4,P719,3,Poor,6.95,5.37,4343,50046.98,Normal
2754,2026-01-21,North,DS14,River,143633.58,112156.96,31476.62,63.5,P878,2,Moderate,8.28,0.22,541,20912.6,Normal
2755,2026-04-11,North,DS24,Reservoir,42548.2,28387.26,14160.94,61.3,P865,2,Poor,8.37,3.17,686,98124.96,Leakage
2756,2026-06-15,South,DS30,Groundwater,62676.2,45062.14,17614.06,70.1,P855,2,Poor,6.79,5.0,1511,65124.51,Normal
2757,2026-05-31,East,DS4,Reservoir,105051.01,88746.95,16304.06,70.9,P597,5,Excellent,7.92,4.48,604,70274.95,Normal
2758,2026-01-22,Central,DS10,Groundwater,123619.84,111489.53,12130.31,31.5,P945,3,Poor,7.71,1.24,4092,44802.07,Normal
2759,2026-04-05,West,DS18,River,31118.61,28900.5,2218.11,45.1,P350,1,Moderate,7.83,0.31,500,75652.24,Normal
2760,2026-01-28,South,DS4,River,14951.27,14283.68,667.59,23.1,P812,5,Good,6.91,6.09,3567,17577.77,Maintenance
2761,2026-02-18,North,DS8,River,34797.79,25476.71,9321.08,76.2,P833,4,Excellent,6.75,7.14,1542,46483.72,Normal
2762,2026-03-20,West,DS8,TreatmentPlant,195105.75,152732.1,42373.65,56.5,P400,3,Poor,7.35,9.83,4474,46905.77,Normal
2763,2026-05-15,South,DS27,TreatmentPlant,169524.64,133204.46,36320.18,30.4,P380,2,Excellent,6.62,9.46,3651,55878.19,Leakage
2764,2026-04-20,North,DS18,Reservoir,169179.56,124213.06,44966.5,26.6,P941,2,Moderate,6.96,5.44,578,23578.76,Normal
2765,2026-04-06,West,DS3,Reservoir,199566.13,164629.16,34936.97,23.1,P284,4,Poor,8.05,7.8,2182,66825.07,Critical
2766,2026-01-08,East,DS9,River,27028.7,20360.99,6667.71,40.9,P932,5,Poor,8.06,6.74,1728,86291.38,Normal
2767,2026-03-12,Central,DS25,River,140796.79,124862.73,15934.06,36.4,P443,1,Moderate,7.12,7.92,3242,76954.49,Normal
2768,2026-04-17,North,DS8,Reservoir,166955.29,126371.72,40583.57,23.2,P298,2,Moderate,6.92,2.61,2121,39076.62,Normal
2769,2026-03-19,East,DS9,River,52046.38,46278.06,5768.32,20.4,P675,1,Poor,7.85,7.45,4386,49329.48,Normal
2770,2026-05-17,West,DS10,Reservoir,20747.08,14351.0,6396.08,30.7,P400,0,Moderate,8.0,5.6,3081,25940.17,Normal
2771,2026-03-19,South,DS16,River,136513.13,95654.91,40858.22,52.6,P587,5,Poor,7.91,5.13,1431,48429.83,Maintenance
2772,2026-06-25,North,DS2,Groundwater,57433.41,56156.53,1276.88,68.3,P327,0,Moderate,6.62,0.15,1276,64774.91,Normal
2773,2026-04-23,East,DS3,Reservoir,179377.02,153337.53,26039.49,30.6,P125,1,Good,8.28,3.12,1142,22079.27,Normal
2774,2026-06-15,West,DS14,River,38558.59,25957.77,12600.82,24.1,P727,1,Good,7.32,6.44,4575,12036.17,Leakage
2775,2026-05-05,Central,DS20,Groundwater,118960.87,80867.08,38093.79,58.3,P862,1,Good,7.6,6.12,4157,49225.44,Leakage
2776,2026-06-03,Central,DS21,Groundwater,37618.17,33584.03,4034.14,48.2,P672,0,Poor,8.04,5.56,687,24884.96,Normal
2777,2026-06-15,East,DS15,Groundwater,114200.84,82395.43,31805.41,78.9,P467,1,Excellent,6.95,9.57,4639,58259.26,Maintenance
2778,2026-04-10,South,DS22,TreatmentPlant,173799.94,146697.17,27102.77,39.1,P942,2,Excellent,7.13,2.48,2045,43985.65,Normal
2779,2026-05-19,East,DS28,River,81185.01,62337.74,18847.27,67.2,P751,5,Excellent,8.25,5.69,1393,3830.04,Normal
2780,2026-01-19,South,DS15,River,43658.48,37025.61,6632.87,78.2,P912,2,Moderate,7.19,9.75,4983,59181.55,Maintenance
2781,2026-03-28,East,DS20,TreatmentPlant,120917.15,97077.13,23840.02,20.7,P769,1,Moderate,8.31,7.35,940,48629.63,Critical
2782,2026-02-18,North,DS3,Groundwater,150993.29,100665.51,50327.78,27.9,P940,2,Excellent,7.71,5.9,2163,96778.64,Normal
2783,2026-04-18,West,DS6,Groundwater,124701.0,90284.43,34416.57,31.0,P461,3,Excellent,8.29,3.66,1343,98732.81,Critical
2784,2026-01-15,West,DS29,TreatmentPlant,104752.27,93666.24,11086.03,73.4,P894,4,Good,6.63,4.47,4954,18028.96,Normal
2785,2026-01-11,South,DS24,River,117371.85,91765.6,25606.25,25.7,P463,3,Excellent,6.81,6.29,1412,93841.28,Normal
2786,2026-01-01,West,DS5,River,185583.29,159626.1,25957.19,30.9,P208,1,Excellent,7.19,1.48,3281,59583.44,Maintenance
2787,2026-01-23,West,DS1,Groundwater,57257.4,55351.91,1905.49,72.8,P319,5,Good,7.05,8.34,1548,57680.91,Maintenance
2788,2026-05-14,South,DS8,Groundwater,25633.06,19984.08,5648.98,77.4,P333,4,Good,8.29,5.71,590,24003.91,Normal
2789,2026-04-03,East,DS2,TreatmentPlant,13704.87,13312.9,391.97,24.9,P299,4,Moderate,6.91,9.21,4298,50621.63,Normal
2790,2026-03-02,East,DS3,River,47789.03,39004.0,8785.03,76.6,P942,4,Moderate,7.79,9.75,3313,57602.47,Leakage
2791,2026-04-07,South,DS11,River,151487.1,119867.22,31619.88,45.5,P845,3,Excellent,6.78,8.99,4660,19656.84,Leakage
2792,2026-01-31,North,DS16,Groundwater,125028.27,95362.03,29666.24,30.2,P309,3,Moderate,6.8,8.51,618,73000.62,Leakage
2793,2026-04-08,North,DS2,Groundwater,181842.21,154842.61,26999.6,33.6,P347,3,Poor,6.61,1.67,2848,97946.36,Critical
2794,2026-03-21,North,DS8,Groundwater,69594.8,48162.95,21431.85,43.5,P434,2,Good,8.14,3.91,4425,81304.15,Normal
2795,2026-03-01,East,DS25,River,191325.1,151612.75,39712.35,53.6,P233,3,Good,7.58,0.21,757,30241.2,Normal
2796,2026-01-05,Central,DS28,Groundwater,113291.46,91713.77,21577.69,44.9,P747,1,Moderate,7.92,5.72,603,41732.94,Maintenance
2797,2026-03-17,Central,DS6,TreatmentPlant,118473.86,91116.23,27357.63,36.6,P523,1,Good,8.45,9.18,3107,69623.38,Normal
2798,2026-01-27,North,DS15,TreatmentPlant,117032.5,103508.77,13523.73,25.5,P823,5,Poor,6.6,7.67,2892,90048.8,Normal
2799,2026-01-13,West,DS8,Reservoir,96256.96,94104.6,2152.36,44.6,P358,5,Moderate,8.13,4.72,3786,99243.01,Leakage
2800,2026-02-06,North,DS29,Groundwater,79323.1,52036.49,27286.61,58.0,P604,3,Moderate,7.45,8.54,3193,47771.31,Maintenance
2801,2026-04-24,South,DS24,Groundwater,80881.63,67289.79,13591.84,25.3,P306,0,Excellent,7.53,0.6,3290,97805.35,Maintenance
2802,2026-03-27,West,DS30,River,194989.92,158077.31,36912.61,24.5,P657,3,Good,7.94,2.89,3813,26340.52,Maintenance
2803,2026-01-30,South,DS3,TreatmentPlant,30512.37,26093.76,4418.61,52.0,P144,4,Good,6.67,5.18,2989,53423.58,Normal
2804,2026-06-29,Central,DS29,Groundwater,49532.06,43236.57,6295.49,24.1,P827,2,Excellent,7.49,7.62,2627,13750.35,Leakage
2805,2026-03-12,East,DS2,Groundwater,81202.76,74584.79,6617.97,68.2,P332,1,Good,7.55,4.22,3843,62519.65,Maintenance
2806,2026-06-15,Central,DS27,Groundwater,120840.9,112610.13,8230.77,62.1,P179,5,Poor,7.75,0.19,2797,94489.61,Normal
2807,2026-01-03,Central,DS18,River,80938.04,78201.26,2736.78,20.0,P403,1,Poor,7.81,0.25,4168,44538.06,Normal
2808,2026-04-30,Central,DS1,River,63327.25,47897.35,15429.9,54.7,P359,1,Excellent,8.45,0.81,4331,81388.41,Normal
2809,2026-02-07,South,DS18,TreatmentPlant,72560.04,62141.01,10419.03,46.3,P680,0,Poor,8.15,7.83,1063,29273.06,Maintenance
2810,2026-06-29,West,DS18,Groundwater,166468.14,127677.04,38791.1,57.1,P876,4,Excellent,7.77,8.77,4983,42827.99,Normal
2811,2026-03-10,West,DS4,Groundwater,93094.26,65973.94,27120.32,79.3,P863,2,Excellent,6.79,1.97,1296,24634.8,Leakage
2812,2026-02-14,South,DS29,Reservoir,178344.48,143844.31,34500.17,62.7,P393,5,Good,7.42,5.68,4342,73097.9,Normal
2813,2026-01-21,Central,DS21,River,57475.99,54258.33,3217.66,24.7,P471,3,Poor,7.54,0.5,3733,70839.32,Critical
2814,2026-01-08,North,DS6,Reservoir,39171.29,35089.36,4081.93,77.3,P703,3,Excellent,8.42,8.35,4055,31323.78,Normal
2815,2026-01-15,East,DS24,Groundwater,20363.58,14440.09,5923.49,72.0,P933,2,Good,7.76,4.62,2329,75215.37,Leakage
2816,2026-01-14,Central,DS5,Reservoir,136762.3,111439.92,25322.38,20.9,P829,5,Moderate,7.53,2.61,1095,97633.19,Leakage
2817,2026-03-03,Central,DS12,Groundwater,159619.02,145206.52,14412.5,21.7,P962,0,Poor,6.76,5.31,4488,67356.71,Normal
2818,2026-06-25,Central,DS7,River,196204.66,140818.38,55386.28,60.1,P674,0,Moderate,8.4,5.67,4784,73554.34,Normal
2819,2026-06-03,Central,DS16,TreatmentPlant,168399.18,134572.11,33827.07,44.9,P766,1,Good,7.12,3.01,4598,95835.34,Normal
2820,2026-06-18,East,DS3,TreatmentPlant,191248.52,124830.95,66417.57,45.6,P919,0,Excellent,7.37,0.98,4845,72445.56,Leakage
2821,2026-03-30,South,DS30,River,122797.68,111819.43,10978.25,77.8,P850,3,Good,7.9,2.73,2695,97515.29,Leakage
2822,2026-02-03,West,DS11,Reservoir,177272.13,164307.84,12964.29,78.2,P562,5,Excellent,7.35,0.32,4286,71818.92,Maintenance
2823,2026-03-27,North,DS10,Groundwater,81752.31,54152.01,27600.3,78.6,P243,4,Poor,7.19,4.32,1383,63203.08,Leakage
2824,2026-02-14,East,DS9,TreatmentPlant,33503.04,31562.11,1940.93,54.0,P252,4,Moderate,6.81,1.49,3045,92294.35,Normal
2825,2026-06-07,Central,DS8,River,38031.78,36308.98,1722.8,63.9,P813,4,Poor,7.93,4.34,1448,74620.42,Normal
2826,2026-02-12,East,DS8,Reservoir,134529.28,126427.17,8102.11,28.3,P978,2,Moderate,6.68,8.79,718,32971.24,Maintenance
2827,2026-02-27,South,DS10,Groundwater,77114.27,53910.82,23203.45,74.7,P655,5,Poor,8.38,1.91,3235,5750.35,Maintenance
2828,2026-05-26,Central,DS16,River,105930.25,97472.22,8458.03,25.8,P563,2,Poor,7.54,8.41,1285,18017.67,Normal
2829,2026-04-06,South,DS7,Reservoir,42418.42,40805.34,1613.08,79.0,P594,4,Good,7.81,2.79,3010,12302.23,Normal
2830,2026-01-04,East,DS29,Groundwater,187793.69,134401.33,53392.36,47.5,P691,0,Excellent,7.94,5.71,2499,51066.85,Maintenance
2831,2026-05-18,West,DS19,River,155991.15,131471.76,24519.39,53.8,P951,4,Good,7.42,2.56,3067,62178.23,Leakage
2832,2026-02-24,East,DS11,River,105640.07,88660.75,16979.32,76.5,P762,5,Excellent,7.28,2.1,4151,78308.53,Normal
2833,2026-03-22,North,DS19,River,139530.67,133107.6,6423.07,70.1,P645,2,Moderate,7.22,3.14,3523,94977.43,Maintenance
2834,2026-02-09,East,DS28,Reservoir,119533.4,85803.02,33730.38,27.0,P978,1,Excellent,8.2,4.72,1597,79536.21,Normal
2835,2026-04-21,Central,DS28,Groundwater,37087.14,36224.23,862.91,56.8,P389,1,Good,8.11,0.12,658,89522.58,Normal
2836,2026-06-24,East,DS10,River,22969.27,16347.61,6621.66,47.8,P134,4,Good,6.54,5.38,4114,35824.37,Critical
2837,2026-06-11,South,DS16,Reservoir,105117.72,97933.56,7184.16,42.0,P682,3,Poor,7.63,8.19,2007,87838.65,Normal
2838,2026-01-31,South,DS26,River,60467.53,58550.49,1917.04,75.4,P482,0,Poor,7.33,8.93,537,47267.52,Normal
2839,2026-06-14,South,DS6,Groundwater,127284.71,89828.34,37456.37,66.1,P803,3,Moderate,7.79,2.34,4220,61183.77,Leakage
